Fecha,Hora,caudal m3 puelo
16/03/2022,10:46,272.434
16/03/2022,11:46,272.434
16/03/2022,12:46,269.900
16/03/2022,13:46,269.900
16/03/2022,14:46,272.434
16/03/2022,15:46,272.434
16/03/2022,16:46,269.900
16/03/2022,17:46,272.434
16/03/2022,18:46,269.900
16/03/2022,19:46,269.900
16/03/2022,20:46,267.366
16/03/2022,21:46,269.900
16/03/2022,22:46,272.434
16/03/2022,23:46,274.968
17/03/2022,00:46,285.274
17/03/2022,01:46,285.274
17/03/2022,02:46,282.570
17/03/2022,03:46,285.274
17/03/2022,04:46,282.570
17/03/2022,05:46,285.274
17/03/2022,06:46,282.570
17/03/2022,07:46,282.570
17/03/2022,08:46,285.274
17/03/2022,09:46,285.274
17/03/2022,10:46,287.978
17/03/2022,11:46,287.978
17/03/2022,12:46,290.682
17/03/2022,13:46,290.682
17/03/2022,14:46,290.682
17/03/2022,15:46,287.978
17/03/2022,16:46,290.682
17/03/2022,17:46,290.682
17/03/2022,18:46,290.682
17/03/2022,19:46,290.682
17/03/2022,20:46,290.682
17/03/2022,21:46,290.682
17/03/2022,22:46,290.682
17/03/2022,23:46,290.682
18/03/2022,00:46,287.978
18/03/2022,01:46,287.978
18/03/2022,02:46,287.978
18/03/2022,03:46,285.274
18/03/2022,04:46,282.570
18/03/2022,05:46,285.274
18/03/2022,06:46,282.570
18/03/2022,07:46,280.036
18/03/2022,08:46,280.036
18/03/2022,09:46,280.036
18/03/2022,10:46,277.502
18/03/2022,11:46,277.502
18/03/2022,12:46,274.968
18/03/2022,13:46,272.434
18/03/2022,14:46,272.434
18/03/2022,15:46,269.900
18/03/2022,16:46,269.900
18/03/2022,17:46,267.366
18/03/2022,18:46,264.832
18/03/2022,19:46,264.832
18/03/2022,20:46,262.298
18/03/2022,21:46,259.764
18/03/2022,22:46,262.298
18/03/2022,23:46,259.764
19/03/2022,00:46,259.764
19/03/2022,01:46,259.764
19/03/2022,02:46,257.230
19/03/2022,03:46,257.230
19/03/2022,04:46,257.230
19/03/2022,05:46,257.230
19/03/2022,06:46,254.993
19/03/2022,07:46,252.756
19/03/2022,08:46,254.993
19/03/2022,09:46,252.756
19/03/2022,10:46,252.756
19/03/2022,11:46,252.756
19/03/2022,12:46,250.519
19/03/2022,13:46,250.519
19/03/2022,14:46,248.282
19/03/2022,15:46,243.808
19/03/2022,16:46,246.045
19/03/2022,17:46,243.808
19/03/2022,18:46,243.808
19/03/2022,19:46,241.571
19/03/2022,20:46,243.808
19/03/2022,21:46,241.571
19/03/2022,22:46,239.334
19/03/2022,23:46,239.334
20/03/2022,00:46,237.097
20/03/2022,01:46,237.097
20/03/2022,02:46,237.097
20/03/2022,03:46,234.860
20/03/2022,04:46,233.050
20/03/2022,05:46,234.860
20/03/2022,06:46,234.860
20/03/2022,07:46,234.860
20/03/2022,08:46,234.860
20/03/2022,09:46,233.050
20/03/2022,10:46,233.050
20/03/2022,11:46,233.050
20/03/2022,12:46,233.050
20/03/2022,13:46,231.240
20/03/2022,14:46,231.240
20/03/2022,15:46,229.430
20/03/2022,16:46,229.430
20/03/2022,17:46,229.430
20/03/2022,18:46,229.430
20/03/2022,19:46,229.430
20/03/2022,20:46,227.620
20/03/2022,21:46,227.620
20/03/2022,22:46,225.810
20/03/2022,23:46,227.620
21/03/2022,00:46,225.810
21/03/2022,01:46,225.810
21/03/2022,02:46,227.620
21/03/2022,03:46,227.620
21/03/2022,04:46,225.810
21/03/2022,05:46,225.810
21/03/2022,06:46,225.810
21/03/2022,07:46,225.810
21/03/2022,08:46,225.810
21/03/2022,09:46,224.000
